numero,nom,id_groupe,id_genre
1,Side to Side,1,6
2,Into You,1,6
3,Dangerous Women,1,6
4,Thank U Next,1,6
5,Santa Tell Me,1,6
6,Bang Bang,1,6
7,7 rings,1,6
8,positions,1,6
9,34+35,1,6
10,God is Women,1,6
11,One Last Time,1,6
12,Break Up With Your Girlfriend,1,6
13,love me harder,1,6
14,Boyfriend,1,6
15,No Tears Left to Cry,1,6
16,motive,1,6
17,Almost Is Never Enough,1,6
18,Right There,1,6
19,Beauty and the Beast,1,6
20,The Way,1,6
21,pov,1,6
22,Stuck With U,1,6
23,Rain On Me,1,6
24,Daydreamin',1,6
25,Problem,1,6
26,Break Free,1,6
27,Focus,1,6
28,everytime,1,6
29,Step on Up,1,6
30,Don't Call Me Angel,1,6
31,Confident,2,6
32,Heart Attack,2,6
33,Sorry Not Sorry,2,6
34,Stone Cold,2,6
35,Really Don't Care,2,6
36,What Other People Say,2,6
37,Wouldn't Change,2,6
38,I Love Me,2,6
39,Let It Go,2,6
40,Dancing With the Devil,2,6
41,Send It On,2,6
42,OK Not to Be OK,2,6
43,Skyscraper,2,6
44,Still Alive,2,6
45,Made in the USA,2,6
46,SKIN OF MY TEETH,2,6
47,Echame la Culpa,2,6
48,Give Your Heart a Break,2,6
49,La La Land,2,6
50,For the Love of a Daughter,2,6
51,This is me,2,6
52,Anyone,2,6
53,Neon Lights,2,6
54,Tell Me You Love Me,2,6
55,Sober,2,6
56,I Will Survive,2,6
57,The Gift of a Friend,2,6
58,Can't Back Down,2,6
59,CUFF IT,3,22
60,Crazy in Love,3,22
61,Single Ladies,3,22
62,Upgrade U,3,22
63,Irreplaceable,3,22
64,Say My Name,3,22
65,Deja Vu,3,22
66,If I Were a Boy,3,22
67,Baby Boy,3,22
68,Naughty Girl,3,22
69,Listen,3,22
70,Bills Bills Bills,3,22
71,Pretty Hurts,3,22
72,7/11,3,22
73,Cater 2 U,3,22
74,Best Thing I Never Had,3,22
75,Halo,3,22
76,Partition,3,22
77,Beautiful Liar,3,22
78,BREAK MY SOUL,3,22
79,Run the World,3,22
80,ALIEN SUPERSTAR,3,22
81,Formation,3,22
82,Love on Top,3,22
83,Countdown,3,22
84,XO,3,22
85,Freakum Dress,3,22
86,Drunk in Love,3,22
87,APESHIT,3,22
88,Hold Up,3,22
89,BROWN SKIN GIRL,3,22
90,Stay,4,15
91,All I Wan For Christmas,4,15
92,Peaches,4,15
93,Yummy,4,15
94,I Feel Funny,4,15
95,Intentions,4,15
96,Never Say Never,4,15
97,Favorite Girl,4,15
98,Stuck With U,4,15
99,Confident,4,15
100,10 000 Hours,4,15
101,As Long as You Love me,4,15
102,Off My Face,4,15
103,That Should Be Me,4,15
104,One Time,4,15
105,One Less Lonely Girl,4,15
106,Baby,4,15
107,Beauty and a Beat,4,15
108,Ghost,4,15
109,Love Me,4,15
110,Love Yourself,4,15
111,Boyfriend,4,15
112,What Do You Mean?,4,15
113,I Don't Care,4,15
114,Lonely,4,15
115,Holy,4,15
116,Mood,4,15
117,Anyone,4,15
118,Hold On,4,15
119,Company,4,15
120,Monster,4,15
121,Nothing Like Us,4,15
122,Best Friend,5,16
123,Wine Pon You,5,16
124,Need To Know,5,16
125,So High,5,16
126,Like That,5,16
127,Streets,5,16
128,Woman,5,16
129,Get Into It,5,16
130,Been Like This,5,16
131,Alone,5,16
132,Freak,5,16
133,Candy,5,16
134,Say So,5,16
135,You Right,5,16
136,Morning Light,5,16
137,Down Low,5,16
138,Shine,5,16
139,Love To Dream,5,16
140,Imagine,5,16
141,Better Than Me,5,16
142,Payday,5,16
143,Game,5,16
144,Fancy,5,16
145,Kiss Me More,5,16
146,Rules,5,16
147,Be The One,6,6
148,Levitating,6,6
149,Hotter Than Hell,6,6
150,Idgaf,6,6
151,Hallucinate,6,6
152,Cool,6,6
153,Boys Will Be Boys,6,6
154,Physical,6,6
155,Lost In Your Light,6,6
156,Pretty Please,6,6
157,Kiss And Make Up,6,6
158,One kiss,6,6
159,New Rules,6,6
160,Break My Heart,6,6
161,Thinking 'Bout You,6,6
162,Blow Your Mind,6,6
163,Love Again,6,6
164,Pretty Please,6,6
165,Love Is Religion,6,6
166,That Kind Of Woman,6,6
167,Homesick,6,6
168,Last Dance,6,6
169,Be The One,6,6
170,Comportement,7,22
171,Doudou,7,22
172,T'as Peur,7,22
173,Debout,7,22
174,Réponds,7,22
175,Je N'ai Pas Besoin De Toi,7,22
176,Papys,7,22
177,Super Héros,7,22
178,Moi,7,22
179,Pookie,7,22
180,Gangster,7,22
181,Gang,7,22
182,Plus Jamais,7,22
183,Biff,7,22
184,Ca Blesse,7,22
185,Nirvana,7,22
186,Préféré,7,22
187,Corazon,7,22
188,Djadja,7,22
189,Jolie Nana,7,22
190,Angela,7,22
191,Karma,7,22
192,Brisé,7,22
193,Soirée Parisienne,7,22
194,Si Tu Savais,7,22
195,Oublier,7,22
196,La Dot,7,22
197,Sucette,7,22
198,Dans Ma Bulle,7,22
199,Tchop,7,22
200,Sentiments Grandissants,7,22
201,Mon Chéri,7,22
202,La Machine,7,22
203,Copines,7,22
204,Baby,7,22
205,Oumou Sangaré,7,22
206,Problèmes,7,22
207,Fuego,7,22
208,Jalousie,7,22
209,Orphelin,7,22
210,J'ai Mal,7,22
211,Pompom,7,22
212,Faya,7,22
213,Whine Up,7,22
214,Oula,7,22
215,Fly,7,22
216,Love De Moi,7,22
217,Hot,7,22
218,Mon Lossa,7,22
219,Bitch Better Have My Money,8,6
220,Diamonds,8,6
221,Umbrella,8,6
222,We Found Love,8,6
223,Stay,8,6
224,Lift Me Up,8,6
225,Dancing In The Dark,8,6
226,Pon de Replay,8,6
227,Disturbia,8,6
228,Take a Bow,8,6
229,Desperado,8,6
230,Kiss It Better,8,6
231,Hate That I Love You,8,6
232,Towards The Sun,8,6
233,Love on the Brain,8,6
234,Rude Boy,8,6
235,Work,8,6
236,Where Have You Been,8,6
